2021/07/07 19:39:33 nsqd v0.2.16
2021/07/07 19:55:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:55:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:55:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:56:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:56:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:56:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:56:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:57:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:57:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:57:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:57:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:58:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:58:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:58:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:58:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:59:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:59:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:59:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 19:59:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:00:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:00:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:00:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:00:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:01:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:01:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:01:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:01:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:02:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:02:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:02:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:02:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:03:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:03:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:03:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:03:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:04:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:04:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:04:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:04:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:05:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:05:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:05:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:05:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:06:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:06:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:06:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:06:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:07:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:07:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:07:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:07:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:08:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:08:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:08:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:08:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:09:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:09:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:09:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:09:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:10:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:10:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:10:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:10:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:11:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:11:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:11:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:11:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:12:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:12:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:12:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:12:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:13:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:13:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:13:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:13:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:14:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:14:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:14:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:14:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:15:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:15:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:15:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:15:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:16:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:16:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:16:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:16:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:17:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:17:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:17:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:17:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:18:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:18:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:18:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:18:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:19:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:19:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:19:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:19:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:20:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:20:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:20:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:20:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:21:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:21:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:21:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:21:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:22:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:22:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:22:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:22:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:23:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:23:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:23:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:23:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:24:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:24:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:24:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:24:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:25:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:25:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:25:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:25:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:26:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:26:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:26:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:26:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:27:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:27:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:27:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:27:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:28:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:28:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:28:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:28:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:29:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:29:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:29:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:29:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:30:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:30:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:30:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:30:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:31:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:31:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:31:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:31:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:32:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:32:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:32:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:32:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:33:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:33:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:33:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:33:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:34:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:34:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:34:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:34:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:35:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:35:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:35:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:35:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:36:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:36:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:36:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:36:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:37:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:37:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:37:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:37:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:38:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:38:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:38:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:38:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:39:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:39:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:39:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:39:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:40:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:40:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:40:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:40:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:41:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:41:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:41:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:41:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:42:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:42:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:42:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:42:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:43:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:43:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:43:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:43:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:44:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:44:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:44:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:44:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:45:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:45:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:45:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:45:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:46:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:46:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:46:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:46:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:47:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:47:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:47:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:47:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:48:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:48:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:48:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:48:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:49:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:49:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:49:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:49:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:50:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:50:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:50:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:50:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:51:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:51:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:51:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:51:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:52:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:52:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:52:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:52:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:53:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:53:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:53:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:53:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:54:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:54:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:54:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:54:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:55:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:55:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:55:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:55:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:56:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:56:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:56:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:56:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:57:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:57:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:57:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:57:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:58:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:58:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:58:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:58:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:59:03 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:59:18 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:59:33 LOOKUPD(127.0.0.1:4160): sending heartbeat
2021/07/07 20:59:48 LOOKUPD(127.0.0.1:4160): sending heartbeat
