2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 19:54:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999980433s)
2021/07/07 19:54:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999972353s)
2021/07/07 19:55:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000777618s)
2021/07/07 19:55:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999262508s)
2021/07/07 19:55:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999957733s)
2021/07/07 19:55:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.00005426s)
2021/07/07 19:56:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999995599s)
2021/07/07 19:56:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999993093s)
2021/07/07 19:56:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999962311s)
2021/07/07 19:56:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999990918s)
2021/07/07 19:57:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000016611s)
2021/07/07 19:57:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000024347s)
2021/07/07 19:57:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000054046s)
2021/07/07 19:57:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999949675s)
2021/07/07 19:58:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000028257s)
2021/07/07 19:58:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999947065s)
2021/07/07 19:58:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999989575s)
2021/07/07 19:58:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999984785s)
2021/07/07 19:59:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000058751s)
2021/07/07 19:59:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999979785s)
2021/07/07 19:59:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000073792s)
2021/07/07 19:59:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999951276s)
2021/07/07 20:00:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.00008305s)
2021/07/07 20:00:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999888032s)
2021/07/07 20:00:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999990105s)
2021/07/07 20:00:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999986333s)
2021/07/07 20:01:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000059926s)
2021/07/07 20:01:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999943328s)
2021/07/07 20:01:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000049567s)
2021/07/07 20:01:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004452s)
2021/07/07 20:02:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999967688s)
2021/07/07 20:02:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999986198s)
2021/07/07 20:02:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000071996s)
2021/07/07 20:02:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999964776s)
2021/07/07 20:03:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.00006662s)
2021/07/07 20:03:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999941205s)
2021/07/07 20:03:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999967999s)
2021/07/07 20:03:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999997481s)
2021/07/07 20:04:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000012611s)
2021/07/07 20:04:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999994925s)
2021/07/07 20:04:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999987323s)
2021/07/07 20:04:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000001472s)
2021/07/07 20:05:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000062943s)
2021/07/07 20:05:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999989286s)
2021/07/07 20:05:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999954636s)
2021/07/07 20:05:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999994873s)
2021/07/07 20:06:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000042618s)
2021/07/07 20:06:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999942647s)
2021/07/07 20:06:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000022338s)
2021/07/07 20:06:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.00001274s)
2021/07/07 20:07:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000037429s)
2021/07/07 20:07:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.00002936s)
2021/07/07 20:07:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999987769s)
2021/07/07 20:07:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999928642s)
2021/07/07 20:08:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999984657s)
2021/07/07 20:08:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999998456s)
2021/07/07 20:08:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000033016s)
2021/07/07 20:08:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.99996184s)
2021/07/07 20:09:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000010637s)
2021/07/07 20:09:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000059089s)
2021/07/07 20:09:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999966433s)
2021/07/07 20:09:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.99997386s)
2021/07/07 20:10:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000038733s)
2021/07/07 20:10:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000015085s)
2021/07/07 20:10:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999970292s)
2021/07/07 20:10:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999978852s)
2021/07/07 20:11:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000014865s)
2021/07/07 20:11:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999981159s)
2021/07/07 20:11:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000009711s)
2021/07/07 20:11:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999975627s)
2021/07/07 20:12:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000028823s)
2021/07/07 20:12:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999999407s)
2021/07/07 20:12:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999997218s)
2021/07/07 20:12:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.00007366s)
2021/07/07 20:13:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999926064s)
2021/07/07 20:13:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999962757s)
2021/07/07 20:13:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000026173s)
2021/07/07 20:13:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000016823s)
2021/07/07 20:14:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000009022s)
2021/07/07 20:14:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999957072s)
2021/07/07 20:14:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000065243s)
